Date,Voucher_Type,Ledger_Name,CoA_Category,Amount
02/04/2018,Payment,MASIHAUTOMOBILEPO,Fuel & Auto,130.0
04/04/2018,Receipt,MASIHAUT,Fuel & Auto,0.98
05/04/2018,Payment,HPCENTREMOTINPO,Fuel & Auto,130.0
05/04/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,500.0
06/04/2018,Payment,ATM WITHDRAWAL DELHI,ATM Withdrawal,4500.0
06/04/2018,Receipt,SALARY CREDIT,Payroll,13887.0
07/04/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,150.0
09/04/2018,Payment,DEEPAKMOTORSPOSD,Fuel & Auto,210.0
09/04/2018,Payment,ATM WITHDRAWAL DELHI,ATM Withdrawal,13500.0
09/04/2018,Receipt,HPCL0 75%CASH,Fuel & Auto,0.98
10/04/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,300.0
07/05/2018,Receipt,SALARY SIZWAN,Payroll,13887.0
07/05/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,300.0
07/05/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,500.0
08/05/2018,Payment,ATM WITHDRAWAL GHAZIABAD,ATM Withdrawal,500.0
09/05/2018,Receipt,",AMAN",Uncategorized,50000.0
09/05/2018,Payment,DFCBANK,Uncategorized,1.0
09/05/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,2000.0
09/05/2018,Payment,ATM WITHDRAWAL DELHI,ATM Withdrawal,25000.0
09/05/2018,Payment,ATM WITHDRAWAL DELHI,ATM Withdrawal,5000.0
10/05/2018,Payment,ATM WITHDRAWAL DELHI,ATM Withdrawal,11000.0
10/05/2018,Payment,PAYTM,Uncategorized,210.0
12/05/2018,Payment,DEEPFUELCENTREPO,Fuel & Auto,170.0
13/05/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,200.0
14/05/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,500.0
15/05/2018,Receipt,HPCL0 75%CASH,Fuel & Auto,1.28
16/05/2018,Payment,ATM WITHDRAWAL DELHI,ATM Withdrawal,18000.0
17/05/2018,Payment,PAYTM,Uncategorized,200.0
17/05/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,200.0
19/05/2018,Payment,MASIHAUTOMOBILEPO,Fuel & Auto,95.0
21/05/2018,Receipt,MASIHAUT,Fuel & Auto,0.71
04/06/2018,Receipt,SALARY SIZWAN,Payroll,18690.0
04/06/2018,Payment,ATM WITHDRAWAL 00691225 DELHI,ATM Withdrawal,5500.0
06/06/2018,Payment,ATM WITHDRAWAL DELHI,ATM Withdrawal,5500.0
09/06/2018,Payment,HPCENTREMOTINPO,Fuel & Auto,170.0
09/06/2018,Payment,ATM WITHDRAWAL NEWDELHI,ATM Withdrawal,5000.0
12/06/2018,Receipt,DISCOUNTONFUE,Fuel & Auto,1.58
12/06/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,2000.0
12/06/2018,Receipt,HPCL0 75%CASH,Fuel & Auto,1.28
14/06/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,200.0
18/06/2018,Payment,ATM WITHDRAWAL AJMER,ATM Withdrawal,200.0
21/06/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,100.0
01/07/2018,Receipt,CREDITINTERESTCAPITALISED,Credit Card Repayment,29.0
04/07/2018,Receipt,SALARY SIZWAN,Payroll,16690.0
04/07/2018,Payment,ATM WITHDRAWAL DELHI,ATM Withdrawal,13000.0
05/07/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,150.0
05/07/2018,Payment,ATM WITHDRAWAL EASTDELHI,ATM Withdrawal,500.0
09/07/2018,Payment,ATM WITHDRAWAL EASTDELHI,ATM Withdrawal,500.0
13/07/2018,Payment,ATM WITHDRAWAL NEWDELHI,ATM Withdrawal,500.0
16/07/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,500.0
16/07/2018,Payment,ATM WITHDRAWAL EASTDELHI,ATM Withdrawal,500.0
21/07/2018,Payment,HPCENTREMOTINPO,Fuel & Auto,70.0
21/07/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,1000.0
24/07/2018,Receipt,HPCL0 75%CASH,Fuel & Auto,0.52
07/08/2018,Receipt,SALARY SIZWAN,Payroll,16690.0
07/08/2018,Payment,ATM WITHDRAWAL NEWDELHI,ATM Withdrawal,4500.0
08/08/2018,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,1187.0
10/08/2018,Payment,ATM WITHDRAWAL BULANDSHAH R,ATM Withdrawal,5000.0
14/08/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,6045.0
07/09/2018,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,1666.0
07/09/2018,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,1666.0
07/09/2018,Receipt,ARIF,Uncategorized,1670.0
08/09/2018,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,8841.0
08/09/2018,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,8841.0
08/09/2018,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,1387.0
10/09/2018,Receipt,SALARY SIZWAN,Payroll,11690.0
11/09/2018,Payment,UKARHEALTHCARE PO,Healthcare & Medical,2500.0
11/09/2018,Payment,ATM WITHDRAWAL NEWDELHI,ATM Withdrawal,1500.0
12/09/2018,Payment,FUND TRANSFER,Fund Transfer,1666.0
21/09/2018,Payment,ATM WITHDRAWAL KAIMUR,ATM Withdrawal,500.0
23/09/2018,Payment,AMAZONPAYPOSDEBI,E-Commerce & Retail,130.72
24/09/2018,Payment,PAYTMPO,E-Commerce & Retail,1000.0
26/09/2018,Payment,ATM WITHDRAWAL DELHI,ATM Withdrawal,2000.0
28/09/2018,Payment,UKARHEALTHCAREPO,Healthcare & Medical,500.0
29/09/2018,Payment,BHARTIAIRTEPO,Utilities & Telecom,219.0
01/10/2018,Receipt,CREDITINTERESTCAPITALISED,Credit Card Repayment,21.0
04/10/2018,Payment,"SURAKSHA,",Uncategorized,200.0
04/10/2018,Payment,ATM WITHDRAWAL NEWDELHI,ATM Withdrawal,500.0
04/10/2018,Payment,ATM WITHDRAWAL DELHI,ATM Withdrawal,500.0
08/10/2018,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,1914.0
08/10/2018,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,1914.0
08/10/2018,Payment,UKARHEALTHCAREPO,Healthcare & Medical,100.0
09/10/2018,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,11848.0
09/10/2018,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,11848.0
09/10/2018,Payment,CREDIT CARD AUTOPAY,Credit Card Repayment,1763.0
09/10/2018,Receipt,CREDIT CARD AUTOPAY,Credit Card Repayment,1763.0
10/10/2018,Receipt,SALARY SIZWAN,Payroll,16690.0
